Planta,Conta do Mês,Série da Nota Fiscal,Nº Nota Fiscal,Vencimento,Emissão,Código de Barras,Chave de Acesso,Leitura Anterior,Leitura Atual,Consumo de Água m³,Consumo de Esgoto m³,Valor Água R$,Valor Esgoto R$,Total R$,Nível de Informações da Fatura,Observações,Devolução Revisão Fatura,Multa Esg. Não Doméstico R$,Tx. Outros R$,Multa Débitos R$,Multa Créditos R$,Multa Retenção R$,Multa Acréscimo R$,Parcelamento,Taxa Serviços,Tx. Regulação - TROF,Tx. de Regulação - TRCF,Tx. de Drenagem,Tx de Coleta,Tarifa Variável Água,Tarifa Variável Esgoto,Desconto Tarifário Esgoto,Desconto Tarifário Água,Tx de Lixo,TX. Repasse Uso Recursos Hid,TX. Recursos Hídrico Esgoto,Multa REF VCTO,Taxa Serviço Básico,Juros de Mora REF VCTO,Atualização Monetária REF VCTO,Descrição da Nota,Número Instalação,Número Medidor,Número Cliente,Código de Ligação (RGI),Hidrômetro,Número Contrato,Identificador de Usuário,Código de Consumidor
CO,01/02/2021,,0,03/02/2021,06/04/2021,0,0,07/03/2021,06/04/2021,41,41,343.78,274.75,661.83,Financeiro Incompleto,,0,0.0,40,0,0.0,0,0.0,0,0,0.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,03948523/46,B14S001048,1482039485231,,
CO,01/03/2021,,0,03/03/2021,06/04/2021,0,0,07/03/2021,06/04/2021,12,12,67.22,53.69,288.01,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.12,0,0,0,0,0,0,0,0,0,102.85,0,26.53,36.6,,,,,03948523/46,B14S001048,1482039485231,,
CO,01/05/2021,,0,05/05/2021,23/04/2021,82680000000 0 98320097149 4 72039485231 6 62534121052 8,0,24/03/2021,23/04/2021,4,4,54.36,43.47,98.32,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,03948523/46,B14S001048,1482039485231,,
CO,01/01/2021,B,0,04/01/2021,29/12/2020,826600000002 299015508516 634124210127 100000000008,0,04/11/2020,04/12/2020,6,0,29.9,0,29.9,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/02/2021,0,0,04/02/2021,26/01/2021,826700000001 299015508516 634124210226 170000000001,0,05/12/2020,05/01/2021,4,0,29.9,0,29.9,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/03/2021,,0,04/03/2021,12/02/2021,826900000009 299015508516 634124210325 130000000005,0,05/01/2021,04/02/2021,3,0,29.9,0,29.9,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/04/2021,,0,04/04/2021,01/04/2021,826000000008 299015508516 634124210424 100000000008,0,04/02/2021,06/03/2021,1,0,29.9,0,29.9,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/05/2021,0,0,04/05/2021,13/04/2021,826000000008 854315508515 634124210523 160000000002,0,05/03/2021,05/04/2021,16,0,85.43,0,85.43,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/06/2021,0,0,04/06/2021,11/05/2021,826100000031 919215508517 634124210622 120000000006,0,04/06/2021,04/07/2021,43,0,391.92,0,391.92,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/07/2021,,0,04/07/2021,01/07/2021,826100000007 310815508513 634124210721 190000000009,0,06/05/2021,05/06/2021,7,0,31.08,0,31.08,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/08/2021,,0,04/08/2021,01/08/2021,826600000002 299015508516 634124210820 150000000003,0,05/06/2021,05/07/2021,1,0,29.9,0,29.9,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/09/2021,0,0,04/09/2021,11/08/2021,826800000000 299015508516 634124210929 110000000007,0,05/07/2021,05/08/2021,1.886,0,29.9,0,29.9,Incompleto,#semconsumo,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/10/2021,,0,04/10/2021,01/10/2021,826500000003 314915508514 634124211026 100000000008,0,07/08/2021,06/09/2021,1,0,29.9,0,31.49,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/11/2021,0,0,04/11/2021,14/10/2021,826000000024 895215508519 634124211125 160000000002,0,06/09/2021,06/10/2021,35,0,289.52,0,289.52,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/12/2021,,0,04/12/2021,01/12/2021,826900000033 919215508517 634124211224 120000000006,0,06/10/2021,05/11/2021,43,0,391.92,0,391.92,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/01/2022,0,012022,04/01/2022,13/12/2021,826700000092 521615508517 634124210127 290000000007,0,05/11/2021,04/12/2021,77,0,943.69,0,952.16,Completo,,0,0.0,0,0,0.0,0,0.0,0,8.47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/02/2022,0,022022,04/02/2022,12/01/2022,826400000038 430115508516 634124210226 250000000001,0,04/12/2021,05/01/2022,37,0,343.01,0,343.01,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,163412421,Y18G235534,,,
CO,01/03/2022,0,032022,04/03/2022,05/02/2022,826900000033 892815508510 634124210325 210001000004,0,04/01/2022,04/02/2022,38,0,356.49,0,389.28,Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.74,0,6.05,0,,,,,163412421,Y18G235534,,,
CO,01/01/2021,0,0,04/01/2021,06/01/2021,826800000000 307000478510 798948380125 100000000008,0,05/11/2020,05/12/2020,1.494,0,29.9,0,30.7,Completo,#semconsumo,0,0.0,0,0,0.0,0,0.0,0,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,179894838,Y17S081545,,,
CO,01/02/2021,0,0,04/02/2021,28/01/2021,826800000000 299000478519 798948380224 170000000001,0,05/12/2020,05/01/2021,1.455,0,29.9,0,29.9,Completo,#semconsumo,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,179894838,Y17S081545,,,
CO,01/01/2021,B,0,04/01/2021,29/12/2020,826700000126 878300478517 811182110122 100000000008,0,04/11/2020,04/12/2020,69,0,"1,287.83",0,"1,287.83",Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,181118211,A18S815302,,,
CO,01/02/2021,0,0,04/02/2021,26/01/2021,826100000049 045600478510 811182110221 170000000001,0,05/12/2020,05/01/2021,26,0,404.56,0,404.56,Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,181118211,A18S815302,,,
CO,01/03/2021,,0,04/03/2021,12/02/2021,826500000102 184300478510 811182110320 130000000005,0,05/01/2021,04/02/2021,57,0,"1,018.43",0,"1,018.43",Completo,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,181118211,A18S815302,,,
CO,01/04/2021,,0,04/04/2021,01/04/2021,826400000103 408800478518 811182110429 100000000008,0,04/02/2021,06/03/2021,58,0,"1,040.88",0,"1,040.88",Financeiro Incompleto,,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,181118211,A18S815302,,,
